year,geography,data_type,all,category,value
2019,Adams,Max. % Total Population,10,0-4,10
2019,Adams,Max. Sub-Population,2006,0-4,2006
2019,Adams,Max. Total Population,20150,0-4,20150
2019,Asotin,Max. % Total Population,5,0-4,5
2019,Asotin,Max. Sub-Population,1213,0-4,1213
2019,Asotin,Max. Total Population,22520,0-4,22520
2019,Benton,Max. % Total Population,7,0-4,7
2019,Benton,Max. Sub-Population,13716,0-4,13716
2019,Benton,Max. Total Population,201800,0-4,201800
2019,Chelan,Max. % Total Population,6,0-4,6
2019,Chelan,Max. Sub-Population,4648,0-4,4648
2019,Chelan,Max. Total Population,78420,0-4,78420
2019,Clallam,Max. % Total Population,4,0-4,4
2019,Clallam,Max. Sub-Population,3399,0-4,3399
2019,Clallam,Max. Total Population,76010,0-4,76010
2019,Clark,Max. % Total Population,6,0-4,6
2019,Clark,Max. Sub-Population,28554,0-4,28554
2019,Clark,Max. Total Population,488500,0-4,488500
2019,Columbia,Max. % Total Population,5,0-4,5
2019,Columbia,Max. Sub-Population,191,0-4,191
2019,Columbia,Max. Total Population,4160,0-4,4160
2019,Cowlitz,Max. % Total Population,6,0-4,6
2019,Cowlitz,Max. Sub-Population,6348,0-4,6348
2019,Cowlitz,Max. Total Population,108950,0-4,108950
2019,Douglas,Max. % Total Population,6,0-4,6
2019,Douglas,Max. Sub-Population,2684,0-4,2684
2019,Douglas,Max. Total Population,42820,0-4,42820
2019,Ferry,Max. % Total Population,5,0-4,5
2019,Ferry,Max. Sub-Population,361,0-4,361
2019,Ferry,Max. Total Population,7830,0-4,7830
2019,Franklin,Max. % Total Population,9,0-4,9
2019,Franklin,Max. Sub-Population,8182,0-4,8182
2019,Franklin,Max. Total Population,94680,0-4,94680
2019,Garfield,Max. % Total Population,5,0-4,5
2019,Garfield,Max. Sub-Population,112,0-4,112
2019,Garfield,Max. Total Population,2220,0-4,2220
2019,Grant,Max. % Total Population,8,0-4,8
2019,Grant,Max. Sub-Population,7761,0-4,7761
2019,Grant,Max. Total Population,98740,0-4,98740
2019,Grays Harbor,Max. % Total Population,5,0-4,5
2019,Grays Harbor,Max. Sub-Population,3849,0-4,3849
2019,Grays Harbor,Max. Total Population,74160,0-4,74160
2019,Island,Max. % Total Population,6,0-4,6
2019,Island,Max. Sub-Population,5499,0-4,5499
2019,Island,Max. Total Population,84820,0-4,84820
2019,Jefferson,Max. % Total Population,3,0-4,3
2019,Jefferson,Max. Sub-Population,962,0-4,962
2019,Jefferson,Max. Total Population,31900,0-4,31900
2019,King,Max. % Total Population,6,0-4,6
2019,King,Max. Sub-Population,127090,0-4,127090
2019,King,Max. Total Population,2226300,0-4,2226300
2019,Kitsap,Max. % Total Population,6,0-4,6
2019,Kitsap,Max. Sub-Population,16170,0-4,16170
2019,Kitsap,Max. Total Population,270100,0-4,270100
2019,Kittitas,Max. % Total Population,5,0-4,5
2019,Kittitas,Max. Sub-Population,2283,0-4,2283
2019,Kittitas,Max. Total Population,46570,0-4,46570
2019,Klickitat,Max. % Total Population,5,0-4,5
2019,Klickitat,Max. Sub-Population,1117,0-4,1117
2019,Klickitat,Max. Total Population,22430,0-4,22430
2019,Lewis,Max. % Total Population,6,0-4,6
2019,Lewis,Max. Sub-Population,4518,0-4,4518
2019,Lewis,Max. Total Population,79480,0-4,79480
2019,Lincoln,Max. % Total Population,5,0-4,5
2019,Lincoln,Max. Sub-Population,528,0-4,528
2019,Lincoln,Max. Total Population,10960,0-4,10960
2019,Mason,Max. % Total Population,5,0-4,5
2019,Mason,Max. Sub-Population,3243,0-4,3243
2019,Mason,Max. Total Population,64980,0-4,64980
2019,Okanogan,Max. % Total Population,6,0-4,6
2019,Okanogan,Max. Sub-Population,2602,0-4,2602
2019,Okanogan,Max. Total Population,42730,0-4,42730
2019,Pacific,Max. % Total Population,4,0-4,4
2019,Pacific,Max. Sub-Population,946,0-4,946
2019,Pacific,Max. Total Population,21640,0-4,21640
2019,Pend Oreille,Max. % Total Population,5,0-4,5
2019,Pend Oreille,Max. Sub-Population,628,0-4,628
2019,Pend Oreille,Max. Total Population,13740,0-4,13740
2019,Pierce,Max. % Total Population,7,0-4,7
2019,Pierce,Max. Sub-Population,60324,0-4,60324
2019,Pierce,Max. Total Population,888300,0-4,888300
2019,San Juan,Max. % Total Population,3,0-4,3
2019,San Juan,Max. Sub-Population,465,0-4,465
2019,San Juan,Max. Total Population,17150,0-4,17150
2019,Skagit,Max. % Total Population,6,0-4,6
2019,Skagit,Max. Sub-Population,7290,0-4,7290
2019,Skagit,Max. Total Population,129200,0-4,129200
2019,Skamania,Max. % Total Population,4,0-4,4
2019,Skamania,Max. Sub-Population,535,0-4,535
2019,Skamania,Max. Total Population,12060,0-4,12060
2019,Snohomish,Max. % Total Population,6,0-4,6
2019,Snohomish,Max. Sub-Population,49548,0-4,49548
2019,Snohomish,Max. Total Population,818700,0-4,818700
2019,Spokane,Max. % Total Population,6,0-4,6
2019,Spokane,Max. Sub-Population,30854,0-4,30854
2019,Spokane,Max. Total Population,515250,0-4,515250
2019,Stevens,Max. % Total Population,5,0-4,5
2019,Stevens,Max. Sub-Population,2237,0-4,2237
2019,Stevens,Max. Total Population,45570,0-4,45570
2019,Thurston,Max. % Total Population,6,0-4,6
2019,Thurston,Max. Sub-Population,15966,0-4,15966
2019,Thurston,Max. Total Population,285800,0-4,285800
2019,Wahkiakum,Max. % Total Population,4,0-4,4
2019,Wahkiakum,Max. Sub-Population,148,0-4,148
2019,Wahkiakum,Max. Total Population,4190,0-4,4190
2019,Walla Walla,Max. % Total Population,5,0-4,5
2019,Walla Walla,Max. Sub-Population,3377,0-4,3377
2019,Walla Walla,Max. Total Population,62200,0-4,62200
2019,Whatcom,Max. % Total Population,5,0-4,5
2019,Whatcom,Max. Sub-Population,11546,0-4,11546
2019,Whatcom,Max. Total Population,225300,0-4,225300
2019,Whitman,Max. % Total Population,4,0-4,4
2019,Whitman,Max. Sub-Population,2063,0-4,2063
2019,Whitman,Max. Total Population,50130,0-4,50130
2019,Yakima,Max. % Total Population,8,0-4,8
2019,Yakima,Max. Sub-Population,20587,0-4,20587
2019,Yakima,Max. Total Population,255950,0-4,255950
2019,State Total,Max. % Total Population,6,0-4,6
2019,State Total,Max. Sub-Population,453551,0-4,453551
2019,State Total,Max. Total Population,7546410,0-4,7546410
2020,Adams,Max. % Total Population,10,0-4,10
2020,Adams,Max. Sub-Population,1950,0-4,1950
2020,Adams,Max. Total Population,20450,0-4,20450
2020,Asotin,Max. % Total Population,5,0-4,5
2020,Asotin,Max. Sub-Population,1201,0-4,1201
2020,Asotin,Max. Total Population,22640,0-4,22640
2020,Benton,Max. % Total Population,7,0-4,7
2020,Benton,Max. Sub-Population,13684,0-4,13684
2020,Benton,Max. Total Population,205700,0-4,205700
2020,Chelan,Max. % Total Population,6,0-4,6
2020,Chelan,Max. Sub-Population,4606,0-4,4606
2020,Chelan,Max. Total Population,79660,0-4,79660
2020,Clallam,Max. % Total Population,4,0-4,4
2020,Clallam,Max. Sub-Population,3324,0-4,3324
2020,Clallam,Max. Total Population,76770,0-4,76770
2020,Clark,Max. % Total Population,6,0-4,6
2020,Clark,Max. Sub-Population,28509,0-4,28509
2020,Clark,Max. Total Population,499200,0-4,499200
2020,Columbia,Max. % Total Population,5,0-4,5
2020,Columbia,Max. Sub-Population,192,0-4,192
2020,Columbia,Max. Total Population,4185,0-4,4185
2020,Cowlitz,Max. % Total Population,6,0-4,6
2020,Cowlitz,Max. Sub-Population,6395,0-4,6395
2020,Cowlitz,Max. Total Population,110500,0-4,110500
2020,Douglas,Max. % Total Population,6,0-4,6
2020,Douglas,Max. Sub-Population,2661,0-4,2661
2020,Douglas,Max. Total Population,43750,0-4,43750
2020,Ferry,Max. % Total Population,5,0-4,5
2020,Ferry,Max. Sub-Population,367,0-4,367
2020,Ferry,Max. Total Population,7910,0-4,7910
2020,Franklin,Max. % Total Population,8,0-4,8
2020,Franklin,Max. Sub-Population,8041,0-4,8041
2020,Franklin,Max. Total Population,96760,0-4,96760
2020,Garfield,Max. % Total Population,5,0-4,5
2020,Garfield,Max. Sub-Population,113,0-4,113
2020,Garfield,Max. Total Population,2225,0-4,2225
2020,Grant,Max. % Total Population,8,0-4,8
2020,Grant,Max. Sub-Population,7635,0-4,7635
2020,Grant,Max. Total Population,100130,0-4,100130
2020,Grays Harbor,Max. % Total Population,5,0-4,5
2020,Grays Harbor,Max. Sub-Population,3796,0-4,3796
2020,Grays Harbor,Max. Total Population,74720,0-4,74720
2020,Island,Max. % Total Population,6,0-4,6
2020,Island,Max. Sub-Population,5490,0-4,5490
2020,Island,Max. Total Population,85530,0-4,85530
2020,Jefferson,Max. % Total Population,3,0-4,3
2020,Jefferson,Max. Sub-Population,971,0-4,971
2020,Jefferson,Max. Total Population,32190,0-4,32190
2020,King,Max. % Total Population,6,0-4,6
2020,King,Max. Sub-Population,125287,0-4,125287
2020,King,Max. Total Population,2260800,0-4,2260800
2020,Kitsap,Max. % Total Population,6,0-4,6
2020,Kitsap,Max. Sub-Population,16125,0-4,16125
2020,Kitsap,Max. Total Population,272200,0-4,272200
