age_group_model,sex,weighted_life,number
0-17,female,72.0233566207591,920949.08
0-17,male,67.2596976820951,964612.07
18-29,female,57.2443157040283,510243.03
18-29,male,52.7971024124185,532282.03
30-39,female,47.6898381624502,519039
30-39,male,43.604492067674,542779
40-49,female,38.2555870192405,466450.98
40-49,male,34.4325015865673,476074.99
50-59,female,29.1258708442368,480073.97
50-59,male,25.7895452262912,478174.96
60-69,female,20.8519510780446,473985.96
60-69,male,18.2233457665283,442760.96
70-79,female,13.6117016346116,302477.98
70-79,male,11.6880139349646,270309.98
80+,female,5.02061423425447,161884.98
80+,male,4.68010516998098,114101
